taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2481433	Fulmarus glacialis (Linnaeus, 1761)	2481433	Fulmarus glacialis (Linnaeus, 1761)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Fulmarus	2481431	Fulmarus glacialis	2481433	LC
2498009	Tadorna tadorna (Linnaeus, 1758)	2498009	Tadorna tadorna (Linnaeus, 1758)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Tadorna	2498006	Tadorna tadorna	2498009	LC
2482800	Empidonax hammondii (Xantus de Vesey, 1858)	2482800	Empidonax hammondii (Xantus de Vesey, 1858)	207	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax hammondii	2482800	LC
5789284	Onychoprion fuscatus (Linnaeus, 1766)	5789284	Onychoprion fuscatus (Linnaeus, 1766)	43	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Onychoprion	3241980	Onychoprion fuscatus	5789284	LC
2480830	Bubulcus ibis (Linnaeus, 1758)	2480830	Bubulcus ibis (Linnaeus, 1758)	1668	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Bubulcus	2480829	Bubulcus ibis	2480830	LC
2481817	Gallinago delicata (Ord, 1825)	2481817	Gallinago delicata (Ord, 1825)	15794	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Gallinago	2481808	Gallinago delicata	2481817	LC
2481725	Tringa erythropus (Pallas, 1764)	2481725	Tringa erythropus (Pallas, 1764)	39	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa erythropus	2481725	LC
2473421	Lagopus lagopus (Linnaeus, 1758)	2473421	Lagopus lagopus (Linnaeus, 1758)	119	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Lagopus	2473369	Lagopus lagopus	2473421	LC
2481741	Calidris ferruginea (Pontoppidan, 1763)	2481741	Calidris ferruginea (Pontoppidan, 1763)	140	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris ferruginea	2481741	NT
7357320	Spizelloides arborea (A.Wilson, 1810)	7357320	Spizelloides arborea (A.Wilson, 1810)	100217	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Spizelloides	8175054	Spizelloides arborea	7357320	
